 time            v(vin_tg)       v(vout_tg_on)   v(vout_tg_off) 
 3.36280000e-03  1.58326239e+00  1.58326545e+00  8.27875366e-01 
 3.37280000e-03  1.54513193e+00  1.54513535e+00  8.27876347e-01 
 3.38280000e-03  1.50445543e+00  1.50445925e+00  8.27876760e-01 
 3.39280000e-03  1.46139342e+00  1.46139769e+00  8.27876949e-01 
 3.40280000e-03  1.41611585e+00  1.41612064e+00  8.27877044e-01 
 3.41280000e-03  1.36880140e+00  1.36880683e+00  8.27877095e-01 
 3.42280000e-03  1.31963681e+00  1.31964301e+00  8.27877123e-01 
 3.43280000e-03  1.26881611e+00  1.26882331e+00  8.27877139e-01 
 3.44280000e-03  1.21653985e+00  1.21654840e+00  8.27877147e-01 
 3.45280000e-03  1.16301436e+00  1.16302485e+00  8.27877151e-01 
 3.46280000e-03  1.10845087e+00  1.10846434e+00  8.27877153e-01 
 3.47280000e-03  1.05306472e+00  1.05308304e+00  8.27877153e-01 
 3.48280000e-03  9.97074490e-01  9.97100055e-01  8.27877153e-01 
 3.49280000e-03  9.40701155e-01  9.40731794e-01  8.27877152e-01 
 3.50280000e-03  8.84167190e-01  8.84192487e-01  8.27877150e-01 
 3.51280000e-03  8.27695710e-01  8.27712668e-01  8.27877149e-01 
 3.52280000e-03  7.71509582e-01  7.71521244e-01  8.27877147e-01 
 3.53280000e-03  7.15830547e-01  7.15839245e-01  8.27877146e-01 
